slug;name;birth_year
Leonardo_da_Vinci;Leonardo da Vinci;1452
Isaac_Newton;Isaac Newton;1643
Galileo_Galilei;Galileo Galilei;1564
Albert_Einstein;Albert Einstein;1879
Archimedes;Archimedes;-287
Nicolaus_Copernicus;Nicolaus Copernicus;1473
Charles_Darwin;Charles Darwin;1809
Thomas_Edison;Thomas Edison;1847
Johannes_Gutenberg;Johannes Gutenberg;1394
Nikola_Tesla;Nikola Tesla;1856
Carl_Linnaeus;Carl Linnaeus;1707
Marie_Curie;Marie Curie;1867
Blaise_Pascal;Blaise Pascal;1623
Louis_Pasteur;Louis Pasteur;1822
Hippocrates;Hippocrates;-460
Alfred_Nobel;Alfred Nobel;1833
James_Watt;James Watt;1736
Stephen_Hawking;Stephen Hawking;1942
Carl_Friedrich_Gauss;Carl Friedrich Gauss;1777
Giordano_Bruno;Giordano Bruno;1548
Gottfried_Wilhelm_Leibniz;Gottfried Wilhelm Leibniz;1646
Ptolemy;Ptolemy;100
Michael_Faraday;Michael Faraday;1791
Dmitri_Mendeleev;Dmitri Mendeleev;1834
Wilhelm_Röntgen;Wilhelm Röntgen;1845
Leonhard_Euler;Leonhard Euler;1707
Omar_Khayyam;Omar Khayyam;1048
Muhammad_ibn_Musa_al-Khwarizmi;Muhammad ibn Musa al-Khwarizmi;780
Euclid;Euclid;-350
Alan_Turing;Alan Turing;1912
Max_Planck;Max Planck;1858
Alexander_Graham_Bell;Alexander Graham Bell;1847
Gregor_Mendel;Gregor Mendel;1822
Alexander_Fleming;Alexander Fleming;1881
Alessandro_Volta;Alessandro Volta;1745
Eratosthenes;Eratosthenes;-276
Ivan_Pavlov;Ivan Pavlov;1849
Antoine_Lavoisier;Antoine Lavoisier;1743
Niels_Bohr;Niels Bohr;1885
Johannes_Kepler;Johannes Kepler;1571
Florence_Nightingale;Florence Nightingale;1820
Hypatia;Hypatia;350
Galen;Galen;129
Paracelsus;Paracelsus;1493
James_Prescott_Joule;James Prescott Joule;1818
André-Marie_Ampère;André-Marie Ampère;1775
Bertrand_Russell;Bertrand Russell;1872
Ernest_Rutherford;Ernest Rutherford;1871
Tycho_Brahe;Tycho Brahe;1546
James_Clerk_Maxwell;James Clerk Maxwell;1831
Henry_Ford;Henry Ford;1863
Ignaz_Semmelweis;Ignaz Semmelweis;1818
Edward_Jenner;Edward Jenner;1749
John_Dalton;John Dalton;1766
Karl_Benz;Karl Benz;1844
Robert_Hooke;Robert Hooke;1635
Pierre_de_Fermat;Pierre de Fermat;1601
Josef_Mengele;Josef Mengele;1911
Werner_Heisenberg;Werner Heisenberg;1901
Evangelista_Torricelli;Evangelista Torricelli;1608
Robert_Koch;Robert Koch;1843
Strabo;Strabo;-64
Henri_Becquerel;Henri Becquerel;1852
Gustave_Eiffel;Gustave Eiffel;1832
Guglielmo_Marconi;Guglielmo Marconi;1874
Fibonacci;Fibonacci;1170
Anders_Celsius;Anders Celsius;1701
Bernhard_Riemann;Bernhard Riemann;1826
Christiaan_Huygens;Christiaan Huygens;1629
Al-Biruni;Al-Biruni;973
Antonie_van_Leeuwenhoek;Antonie van Leeuwenhoek;1632
John_Forbes_Nash_Jr.;John Forbes Nash Jr.;1928
Georg_Ohm;Georg Ohm;1789
Pierre-Simon_Laplace;Pierre-Simon Laplace;1749
Erwin_Schrödinger;Erwin Schrödinger;1887
Alexander_von_Humboldt;Alexander von Humboldt;1769
Jean-Baptiste_Lamarck;Jean-Baptiste Lamarck;1744
Hans_Christian_Ørsted;Hans Christian Ørsted;1777
L._L._Zamenhof;L. L. Zamenhof;1859
Heinrich_Hertz;Heinrich Hertz;1857
Rudolf_Diesel;Rudolf Diesel;1858
Enrico_Fermi;Enrico Fermi;1901
Basil_of_Caesarea;Basil of Caesarea;329
Srinivasa_Ramanujan;Srinivasa Ramanujan;1887
Ibn_al-Haytham;Ibn al-Haytham;965
Albert_Schweitzer;Albert Schweitzer;1875
Andreas_Vesalius;Andreas Vesalius;1514
Louis_Braille;Louis Braille;1809
Joseph_Fourier;Joseph Fourier;1768
Robert_Boyle;Robert Boyle;1627
John_von_Neumann;John von Neumann;1903
Charles_Babbage;Charles Babbage;1791
Jean_le_Rond_d'Alembert;Jean le Rond d'Alembert;1717
Jabir_ibn_Hayyan;Jabir ibn Hayyan;721
Louis_Daguerre;Louis Daguerre;1787
Pierre_Curie;Pierre Curie;1859
Hero_of_Alexandria;Hero of Alexandria;10
Diophantus;Diophantus;201
William_Harvey;William Harvey;1578
David_Hilbert;David Hilbert;1862
Daniel_Bernoulli;Daniel Bernoulli;1700
Muhammad_ibn_Zakariya_al-Razi;Muhammad ibn Zakariya al-Razi;865
George_Stephenson;George Stephenson;1781
Edwin_Hubble;Edwin Hubble;1889
Samuel_Morse;Samuel Morse;1791
Aristarchus_of_Samos;Aristarchus of Samos;-311
François_Viète;François Viète;1540
Gottlieb_Daimler;Gottlieb Daimler;1834
Évariste_Galois;Évariste Galois;1811
Henri_Poincaré;Henri Poincaré;1854
Hendrik_Lorentz;Hendrik Lorentz;1853
Luigi_Galvani;Luigi Galvani;1737
Ernst_Haeckel;Ernst Haeckel;1834
Nikolaus_Otto;Nikolaus Otto;1832
Joseph-Louis_Lagrange;Joseph-Louis Lagrange;1736
Konrad_Lorenz;Konrad Lorenz;1903
William_Herschel;William Herschel;1738
Louis_de_Broglie;Louis de Broglie;1892
Ulugh_Beg;Ulugh Beg;1394
Hipparchus;Hipparchus;-190
Jöns_Jacob_Berzelius;Jöns Jacob Berzelius;1779
